site_id,northing,easting,dataset,quality
175,202291.43,453537.6434,agi,0.4046198574029949
176,202546.92,454047.6941,agi,0.7145626428614796
177,202754.2,453751.7393,agi,0.5320412077803225
178,202822.65,453903.9152,agi,0.8620379932420408
179,202926.075,453578.6026,agi,0.38251256648759596
180,203054.225,452915.686,agi,0.5046398106301551
181,203305.075,452589.5184,agi,0.36808411274435343
182,203448.225,452782.4633,agi,0.8548161709671378
183,203472.65,453196.6306,agi,0.8264036120285887
184,203659.715,454240.1906,agi,0.4547649766290934
185,203820.53,453957.9382,agi,0.6959904276205074
186,203890.515,453502.7585,agi,0.7903333201207295
187,203048.275,455091.8782,agi,0.6331204869596774
188,203106.315,454505.3465,agi,0.6177903470136039
189,203228.79,454870.2429,agi,0.44511137454027105
190,203319.11,454571.8708,agi,0.3558616606835395
191,203435.555,454743.9037,agi,0.8383294547719962
192,203554.755,454597.8999,agi,0.8402508342979984
193,203644.7,454483.1731,agi,0.6798608743639608
194,203680.83,454618.3497,agi,0.5034178746292204
195,204408.7,455891.5708,agi,0.5095257447675965
196,204476.375,455347.1775,agi,0.7355734073221436
197,203896.2,453735.7048,agi,0.8382661559715463
198,203933.4,454038.0496,agi,0.8322518545590705
199,204055.115,451857.9025,agi,0.7679253275145743
200,204134.595,454232.229,agi,0.6852189876925727
201,204300.485,452087.3581,agi,0.3504839789970293
202,204455.67,452808.4479,agi,0.39697722845676825
203,204468.265,453563.5435,agi,0.8391325131162477
204,204535.51,452216.1579,agi,0.6638574357957541
205,204562.425,453145.6513,agi,0.30551823096997777
206,204872.605,454164.175,agi,0.3608829257196193
207,204870.375,451393.819,agi,0.6981010614648335
208,205145.465,451156.1173,agi,0.3030369503077312
209,205237.035,451069.1415,agi,0.3964848308504992
210,205622.85,451077.8711,agi,0.6292402736199517
211,205858.15,451449.0905,agi,0.715137119
212,204910.1,453532.6809,agi,0.6911767557015603
213,204920.075,453921.8366,agi,0.43456158567633585
214,205162.385,452424.3949,agi,0.7273075328085216
215,205261.065,453650.6137,agi,0.44234945249808005
216,205281.79,452550.4423,agi,0.4952398188955607
217,205404.005,452411.1106,agi,0.7478948430708146
218,205426.4,453144.1662,agi,0.6897797394283288
219,205466.475,453469.2167,agi,0.8095340462965068
220,205581.365,453102.587,agi,0.694567735
221,205600.81,452568.5779,agi,0.640985162
222,205896.69,450507.715,agi,0.3562048606968555
223,205957.7,449836.7478,agi,0.5206294818356602
224,205981.29,451496.234,agi,0.45912142060903527
225,205970.045,449622.4824,agi,0.44639378602745017
226,206012.855,451204.4787,agi,0.8838063328514674
227,206032.345,451168.4749,agi,0.5358586348000562
228,206148.71,450604.0548,agi,0.835227933
229,206194.3,450164.8225,agi,0.6786831755983578
230,205641.75,453038.5122,agi,0.7768867821249892
231,205853.5,452037.3436,agi,0.6015822558631153
232,206084.945,452035.2853,agi,0.6461423307758155
233,206148.725,453226.2269,agi,0.5955106162913184
234,206211.725,452497.9426,agi,0.4171457926788267
235,206320.425,452734.4513,agi,0.7334712691569032
