site_id,northing,easting,dataset
273,204901.65,455232.3446,agi
274,205218.705,455182.7733,agi
275,205247.135,455038.3756,agi
276,205155.2038,455736.4691,agi
277,205573.77,455586.0425,agi
278,205871.3641,454762.65,agi
279,206875.235,455346.7642,agi
280,206933.565,455176.5359,agi
281,206960.86,455344.0708,agi
282,207121.1265,455179.7588,agi
283,207184.53,455713.3138,agi
284,207228.275,456134.4377,agi
285,207342.29,455908.4792,agi
286,207372.09,454744.9275,agi
287,207476.41,455166.3378,agi
288,207541.04,456063.2654,agi
289,207566.025,455634.1186,agi
290,207621.21,456600.056,agi
291,207632.54,454471.4197,agi
292,207854.96,455228.6557,agi
293,208079.275,455366.8159,agi
294,208206.595,454816.7705,agi
295,208221.81,454865.0571,agi
296,206622.1,452044.7415,agi
297,207272.085,452933.5675,agi
298,207343.65,451559.5676,agi
299,207528.88,453714.2452,agi
300,207715.725,452623.0557,agi
301,207831.6,453964.1884,agi
302,207987.6,454068.643,agi
303,208138.67,453583.1689,agi
304,208222.325,454075.2367,agi
305,208387.225,452744.3924,agi
306,208161.75,451204.6274,agi
307,208407.965,450233.1375,agi
308,208483.875,450382.4621,agi
309,208505.1458,449382.0412,agi
310,208962.58,451129.0192,agi
311,209169.05,450510.4946,agi
312,209258.78,450839.8747,agi
313,209667.5026,448869.4817,agi
314,209711.8249,449074.6036,agi
315,209737.1227,449491.7135,agi
316,209834.0498,448503.7901,agi
317,209993.75,448764.8293,agi
318,208439.195,453017.8973,agi
319,208483.11,454134.0769,agi
320,208710.505,452679.9745,agi
321,208773.875,453000.88,agi
322,208881.38,452712.293,agi
323,208996.6,452446.7855,agi
324,209855.475,449677.4507,agi
325,209968.7994,449342.4935,agi
326,209997.09,451326.5836,agi
327,210356.56,451010.9766,agi
328,210437.63,450943.0355,agi
329,210570.25,450128.7496,agi
330,202053.275,455574.1659,agi
331,202073.415,455316.0769,agi
332,202233.58,455938.813,agi
333,202291.43,453537.6434,agi
334,202546.92,454047.6941,agi
335,202754.2,453751.7393,agi
