,access_pt_id,site_id,has_agi,has_sac,has_sssi,is_protected,designation_count,snap_distance_m,easting,northing,geometry
135,ap_0045989,280,True,False,False,False,1,0.0,455812.64859999996,204900.12509999983,POINT (455812.64859999996 204900.12509999983)
136,ap_0045990,280,True,False,False,False,1,0.20590446787571612,455798.07770000026,204890.4751999993,POINT (455798.07770000026 204890.4751999993)
137,ap_0045991,280,True,False,False,False,1,0.0,455796.82689999975,204887.00039999932,POINT (455796.82689999975 204887.00039999932)
138,ap_0045992,280,True,False,False,False,1,0.0,455796.7028000001,204886.65589999966,POINT (455796.7028000001 204886.65589999966)
139,ap_0045993,280,True,False,False,False,1,0.0,455796.35639999993,204880.7971999999,POINT (455796.35639999993 204880.7971999999)
140,ap_0045994,280,True,False,False,False,1,0.0,455793.5502000004,204828.60700000077,POINT (455793.5502000004 204828.60700000077)
141,ap_0045995,303,True,False,False,False,1,0.3176815107260353,457169.01549999975,205892.9877000004,POINT (457169.01549999975 205892.9877000004)
142,ap_0045996,280,True,False,False,False,1,0.0,455795.8995000003,204790.00789999962,POINT (455795.8995000003 204790.00789999962)
143,ap_0045997,280,True,False,False,False,1,0.0,455796.68709999975,204759.7184999995,POINT (455796.68709999975 204759.7184999995)
144,ap_0045998,280,True,False,False,False,1,0.008279739409437758,455797.3706,204697.8900000006,POINT (455797.3706 204697.8900000006)
145,ap_0045999,280,True,False,False,False,1,0.0,455792.6205000002,204632.09449999966,POINT (455792.6205000002 204632.09449999966)
146,ap_0046000,280,True,False,False,False,1,0.0,455792.5795,204631.52690000087,POINT (455792.5795 204631.52690000087)
147,ap_0046001,280,True,False,False,False,1,0.0,455792.12430000026,204625.22179999948,POINT (455792.12430000026 204625.22179999948)
148,ap_0046002,280,True,False,False,False,1,0.055820018259223066,455789.7078,204606.42300000042,POINT (455789.7078 204606.42300000042)
149,ap_0046003,49,True,False,False,False,1,0.1518110435287158,450499.7218000004,194156.37140000053,POINT (450499.7218000004 194156.37140000053)
150,ap_0046004,49,True,False,False,False,1,0.0,450224.86950000003,195052.9615000002,POINT (450224.86950000003 195052.9615000002)
151,ap_0046005,49,True,False,False,False,1,0.4376283863010498,450118.47809999995,194968.90300000086,POINT (450118.47809999995 194968.90300000086)
152,ap_0046006,49,True,False,False,False,1,0.0,450277.4195999997,195069.02569999918,POINT (450277.4195999997 195069.02569999918)
153,ap_0046007,49,True,False,False,False,1,0.0,450324.9715,195062.9798000008,POINT (450324.9715 195062.9798000008)
154,ap_0046008,52,True,False,False,False,1,0.09079250991304563,454737.73610000033,193967.1355000008,POINT (454737.73610000033 193967.1355000008)
155,ap_0046009,90,True,False,False,False,1,0.0,457027.9682,196357.66569999978,POINT (457027.9682 196357.66569999978)
156,ap_0046010,90,True,False,False,False,1,0.0,457006.8130000001,196342.7229999993,POINT (457006.8130000001 196342.7229999993)
157,ap_0046011,90,True,False,False,False,1,0.0,457006.1300999997,196342.36180000007,POINT (457006.1300999997 196342.36180000007)
158,ap_0046012,90,True,False,False,False,1,0.3531006081900412,457333.94020000007,196227.3479999993,POINT (457333.94020000007 196227.3479999993)
159,ap_0046013,90,True,False,False,False,1,0.14918592586116466,457333.95610000007,196225.9397,POINT (457333.95610000007 196225.9397)
160,ap_0046014,90,True,False,False,False,1,0.0,457334.6336000003,196220.8794999998,POINT (457334.6336000003 196220.8794999998)
161,ap_0046015,90,True,False,False,False,1,0.0,457335.93120000046,196212.21470000036,POINT (457335.93120000046 196212.21470000036)
162,ap_0046016,89,True,False,False,False,1,0.0,455107.10809999984,197038.98169999942,POINT (455107.10809999984 197038.98169999942)
163,ap_0046017,89,True,False,False,False,1,0.0,455057.39919999987,197088.10899999924,POINT (455057.39919999987 197088.10899999924)
164,ap_0046018,89,True,False,False,False,1,0.0,455431.13489999995,197206.1950000003,POINT (455431.13489999995 197206.1950000003)
165,ap_0046019,224,True,False,False,False,1,0.0,448600.7485999996,205094.79389999993,POINT (448600.7485999996 205094.79389999993)
166,ap_0046020,224,True,False,False,False,1,0.0,448578.8387000002,205076.7971999999,POINT (448578.8387000002 205076.7971999999)
167,ap_0046021,224,True,False,False,False,1,0.0,448538.27440000046,205044.0388999991,POINT (448538.27440000046 205044.0388999991)
168,ap_0046022,232,True,False,False,False,1,0.0,449492.1347000003,205491.6721999999,POINT (449492.1347000003 205491.6721999999)
169,ap_0046023,232,True,False,False,False,1,0.3781992613102185,449504.7073999997,205462.63680000044,POINT (449504.7073999997 205462.63680000044)
170,ap_0046024,117,True,False,False,False,1,0.0,449947.1387,199432.90069999918,POINT (449947.1387 199432.90069999918)
171,ap_0046025,117,True,False,False,False,1,0.5092155443354303,449980.5990000004,199088.60050000064,POINT (449980.5990000004 199088.60050000064)
